iso3c,iv_geo_degree,iv_geo_strength,iv_geo_eigen,iv_geo_betweenness
AGO,0.10101010101010101,1.2973834264894362,0.1853670712420401,0.017934446505875078
ARE,0.15151515151515152,2.6664151642472396,0.5146163723489563,0.0026798598227169654
ARG,0.10101010101010101,1.8802573983896138,0.009227664075064658,0
AUS,0.10101010101010101,1.2871993275645455,0.2230769195120034,8.245722531436817e-4
AUT,0.13131313131313133,2.6003267019231693,0.10680330651175594,0.013193156050298907
AZE,0.10101010101010101,1.6226915698259459,0.1257943265059969,0.016491445062873634
BEL,0.18181818181818182,3.1471529665514772,0.22673750659422914,0.05071119356833643
BGD,0.1414141414141414,2.1309742913959218,0.35934700554934745,0.0018552875695732839
BGR,0.1111111111111111,1.6482754530463666,0.11072110553885148,0.005359719645433931
BOL,0.1414141414141414,2.336866427045114,0.011851711464288223,0.004329004329004329
BRA,0.10101010101010101,1.3819735745550075,0.01929529557710584,0.013811585240156668
BWA,0.1414141414141414,2.5240250133997733,0.5203094015270846,0.0037105751391465678
CAN,0.10101010101010101,1.4618033296681059,0.1281377162616313,0.001443001443001443
CHE,0.1919191919191919,2.98693716091149,0.20854563975727347,0.06369820655534941
CHL,0.1111111111111111,1.7276946022982052,0.008888109799225583,0
CHN,0.1111111111111111,1.595874158532836,0.15528098551456032,0.007833436404864976
CMR,0.1717171717171717,2.615843370569703,0.31547725853416614,0.02391259534116677
COL,0.1414141414141414,2.3083091983651043,0.012303680641010069,8.245722531436817e-4
CRI,0.1111111111111111,1.7474822856544936,0.013675556795024258,0
CYP,0.1111111111111111,1.8824769293707173,0.3527705840844032,0.018140589569160998
CZE,0.1414141414141414,2.334806026242077,0.08324093327511699,0.0030921459492888066
DEU,0.15151515151515152,2.6138882018831695,0.14385252284590783,0.05297876726448155
DNK,0.13131313131313133,1.7844228400740128,0.06105790055524548,0.006184291898577613
DOM,0.10101010101010101,1.420536385440298,0.02033971034731723,0.04803133374561946
DZA,0.1717171717171717,2.7735895352833357,0.26104683285441416,0.008245722531436817
ECU,0.1414141414141414,2.2192599212240216,0.011770342563616393,0
EGY,0.16161616161616163,2.4285819175581613,0.41603290170333873,0.003916718202432488
ESP,0.15151515151515152,2.479420434624819,0.032178632209576466,0.095856524427953
EST,0.10101010101010101,1.6534212771299581,0.04260099280495641,0.013193156050298907
ETH,0.10101010101010101,1.4718576577773657,0.3543428740785722,0
FIN,0.10101010101010101,1.551286659417417,0.03254891192271567,0.0010307153164296021
FRA,0.1919191919191919,3.216572763462818,0.20014897414215516,0.1038961038961039
GBR,0.21212121212121213,3.5329339198758802,0.531851187723758,0.13852813852813853
GEO,0.1111111111111111,1.4854443763159006,0.2166196964545221,0.0012368583797155227
GHA,0.13131313131313133,2.30833014735286,0.5503646448795645,2.0614306328592042e-4
GRC,0.10101010101010101,1.4951134989928847,0.15896834386697112,0.0022675736961451248
GTM,0.10101010101010101,1.57396673140008,0.013068860673027385,0
HRV,0.1111111111111111,1.9284275152969896,0.07645670011208427,0
HUN,0.12121212121212122,2.204543110018187,0.08109453126419003,0.006802721088435374
IDN,0.10101010101010101,1.2722482385513731,0.11714285567096032,0.007215007215007215
IND,0.21212121212121213,3.472503592416512,0.6385142817796653,0.031127602556173986
IRL,0.12121212121212122,1.7341735466083534,0.2835238534397886,6.184291898577613e-4
IRN,0.1111111111111111,1.5688231802645665,0.24589245914170524,0.0022675736961451248
IRQ,0.12121212121212122,2.004193703788498,0.3624913991829089,0.006184291898577613
ISL,0.10101010101010101,1.2024342562409214,0.08222766408039428,2.0614306328592042e-4
ISR,0.30303030303030304,5.199270531083778,1,0.09400123685837972
ITA,0.1111111111111111,1.6206382454835173,0.10433862686845376,0.006596578025149453
JOR,0.25252525252525254,4.452991948687277,0.9137012327692435,0.02061430632859204
JPN,0.10101010101010101,1.1443345662548752,0.08267988365956311,4.1228612657184083e-4
KAZ,0.1111111111111111,1.563433288653323,0.1561781570940094,0.026386312100597813
KEN,0.18181818181818182,3.3981960525354444,0.7994658252266241,0.004329004329004329
KHM,0.12121212121212122,1.7423966774055446,0.11575963290326208,0.002886002886002886
KOR,0.12121212121212122,1.6162610848486814,0.2755635626657851,0.012368583797155226
KWT,0.25252525252525254,4.263094184609395,0.8163584051876198,0.05710162853019996
LAO,0.13131313131313133,1.9756491679527888,0.1268208909584812,0.013605442176870748
LKA,0.1111111111111111,1.611299552489149,0.3055357062218842,0
LTU,0.12121212121212122,1.910606381283856,0.05059967971461264,0.012162440733869306
LUX,0.1717171717171717,2.854226995779414,0.18916718155825452,0.008658008658008658
LVA,0.10101010101010101,1.6397755251317887,0.04281407617199215,0.0018552875695732839
MAR,0.1414141414141414,2.2739192203541925,0.17590151287258018,0.0022675736961451248
MEX,0.10101010101010101,1.5013543340931714,0.013603368991652464,0
MLT,0.1717171717171717,2.8240895700590163,0.6043735477301924,0.021026592455163882
MMR,0.1414141414141414,2.127269266694252,0.27629451310519926,0.007833436404864976
MNG,0.10101010101010101,1.214413625765375,0.1205361346585861,2.0614306328592042e-4
MYS,0.12121212121212122,1.9556099817928085,0.2782585266193027,0.0045351473922902496
NAM,0.1111111111111111,1.7614568555236807,0.326955450224041,6.184291898577613e-4
NGA,0.13131313131313133,2.3246313842768833,0.5192182624815899,0.00948258091115234
NLD,0.1414141414141414,2.1962061159319566,0.15512803287045207,0.030715316429602145
NOR,0.1111111111111111,1.4886963272352896,0.04508988125558674,0.0010307153164296021
NPL,0.1111111111111111,1.364215765346509,0.1424244613488906,0.0016491445062873633
NZL,0.10101010101010101,1.270562821713732,0.20266336603767202,6.184291898577613e-4
OMN,0.10101010101010101,1.564792023039499,0.31195558808544427,6.184291898577613e-4
PAK,0.25252525252525254,3.9535648455138124,0.7281563341872819,0.054215625644197074
PAN,0.1414141414141414,2.2642659082954313,0.015391243792584315,0.0026798598227169654
PER,0.1414141414141414,2.2197342753336167,0.011583560776670176,0.0018552875695732839
PHL,0.13131313131313133,1.6770763519563965,0.23326455271490587,0.06390434961863534
POL,0.13131313131313133,1.9866753354090614,0.05231061384624982,0.02061430632859204
PRT,0.10101010101010101,1.3752952109488248,0.10071240799057964,0.045763760049474335
PRY,0.10101010101010101,1.7485078078866605,0.00890185404451466,0
QAT,0.15151515151515152,2.664989126584784,0.5055678373280292,0.00515357658214801
ROU,0,0,0,0
RWA,0.13131313131313133,2.0783342432523964,0.3864825341806328,0.018140589569160998
SAU,0.1111111111111111,1.9085157059622746,0.372762925763742,0.0018552875695732839
SEN,0.13131313131313133,1.9713398756705116,0.1954550086860086,0
SGP,0.1919191919191919,3.12814917236919,0.5940579816012503,0.030715316429602145
SVK,0.1111111111111111,2.1509996987025106,0.07580202151718261,0.001443001443001443
SVN,0.1111111111111111,2.006734275172413,0.0834609164142373,4.1228612657184083e-4
SWE,0.1111111111111111,1.7062388892641276,0.04136000426388819,0.00948258091115234
THA,0.1111111111111111,1.5289718051849708,0.12360681143869712,0.0010307153164296021
TUN,0.16161616161616163,2.6162402587559894,0.2146116367374266,0.025561739847454135
TUR,0.10101010101010101,1.8416064256480982,0.1563717934910494,0.02391259534116677
TZA,0.1717171717171717,3.253663763118149,0.7179716808732292,0.017522160379303237
UGA,0.1919191919191919,3.5523781779465273,0.8150389950187092,0.005359719645433931
URY,0.10101010101010101,1.7340778355105433,0.008752550761179015,0
USA,0.1111111111111111,1.717222340904185,0.08907295871710763,0.08451865594722738
UZB,0.1111111111111111,1.5348964374902725,0.12222033081480146,0.008039579468150896
VNM,0.1414141414141414,1.9540152068794627,0.12032641191431996,0.00948258091115234
ZAF,0.13131313131313133,1.9878628231829087,0.35475597274378423,0.006596578025149453
ZMB,0.16161616161616163,2.9618970428516165,0.6226640088546325,0.014017728303442589
ZWE,0.1717171717171717,3.018326062832161,0.6237425375570035,0.009070294784580499
